CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.7493245,5.75,9.3,0,0.74,6.308,35.54,4.549,7,438,17.3,322.98,22.68,24.2
0.806114,4.75,9.3,0,0.74,6.308,36.28,5.098,5,580,15.2,287.49,37.5,17
0.6357455,4.75,4.19,1,0.62,6.308,31.1,4.8235,2,644,16.4,324.67,12.8,22.4
0.4085875,0.75,8.57,0,0.86,7.18,23.33,5.098,7,586,15.8,302.7,42.44,26
0.919693,7,7.11,0,0.86,7.18,29.25,5.098,8,558,14.6,316.22,7.86,26.6
0.238219,1.75,5.65,0,0.74,7.18,31.1,4.549,9,345,19.4,284.11,20.21,25.4
0.8629035,1.75,5.65,1,0.62,6.308,38.5,4.8235,7,295,16.1,294.25,32.56,17
0.238219,3.75,4.19,1,0.86,6.308,21.85,4.549,6,541,16.4,290.87,39.97,26
0.12464,7.25,4.92,0,0.74,7.18,31.1,4.549,1,412,19.1,304.39,25.15,20.6
0.919693,2,4.92,1,0.86,7.18,33.32,5.098,1,650,16.7,280.73,30.09,28.4
0.5221665,5.5,2.73,1,0.62,6.308,36.65,5.098,3,301,17.3,289.18,12.8,18.8
0.578956,3.5,5.65,1,0.86,7.616,24.44,5.098,5,465,17,267.21,10.33,19.4
0.7493245,2.5,2.73,1,0.62,7.616,29.25,4.549,1,489,19.7,309.46,32.56,20
0.6357455,4.25,4.92,0,0.74,8.052,28.51,4.8235,6,425,19.7,262.14,22.68,24.2
0.8629035,3,6.38,0,0.74,7.616,28.14,4.8235,6,538,16.7,319.6,44.91,20
0.8629035,6.25,4.92,0,0.74,8.052,22.59,5.098,6,313,18.2,272.28,35.03,26
0.12464,0,4.19,0,0.86,7.18,26.66,5.098,6,600,15.2,302.7,17.74,28.4
0.4085875,0,6.38,0,0.86,7.18,23.7,4.549,6,357,14.6,301.01,32.56,17
0.8629035,2.25,4.92,1,0.62,8.052,34.43,5.098,8,453,14.9,321.29,17.74,28.4
0.351798,0,9.3,1,0.86,8.052,35.17,4.8235,9,642,18.2,319.6,39.97,24.2
0.351798,0.75,8.57,1,0.62,6.744,37.02,4.549,7,454,19.1,285.8,44.91,24.8
0.7493245,0.75,3.46,1,0.62,7.18,37.76,4.8235,8,491,19.4,282.42,27.62,20
0.8629035,4,9.3,1,0.86,8.052,24.44,4.549,6,433,19.1,284.11,25.15,29
0.806114,0.5,7.84,1,0.86,7.18,25.18,5.098,8,416,15.5,316.22,42.44,23
0.4085875,6.25,3.46,0,0.62,6.744,23.7,4.549,3,380,19.1,282.42,22.68,17
0.806114,4.25,9.3,0,0.74,6.744,25.18,4.8235,1,349,16.4,268.9,27.62,20
0.6357455,4,9.3,1,0.62,6.744,31.47,4.8235,4,496,19.4,321.29,10.33,19.4
0.919693,0.75,9.3,1,0.86,8.052,30.73,4.8235,2,591,18.2,285.8,15.27,27.8
0.2950085,0.75,3.46,1,0.62,7.616,34.8,5.098,6,630,17.3,324.67,37.5,23.6
0.1814295,0.25,5.65,1,0.62,7.18,21.85,5.098,9,441,17.6,267.21,25.15,20.6
0.1814295,0.5,4.19,1,0.86,6.744,23.7,4.549,5,513,14.3,289.18,7.86,20.6
0.692535,4.75,4.92,0,0.86,8.052,24.07,4.8235,6,496,15.8,309.46,30.09,21.2
0.12464,7.25,6.38,0,0.74,6.308,37.02,4.549,1,543,15.2,280.73,30.09,23.6
0.1814295,7,2.73,1,0.74,7.616,31.1,4.8235,1,319,18.8,314.53,20.21,25.4
0.1814295,3.25,5.65,0,0.74,7.18,34.8,4.8235,5,343,16.4,297.63,30.09,28.4
0.351798,1.5,7.84,0,0.86,7.18,38.13,4.549,4,533,14.9,287.49,39.97,21.2
0.12464,0.75,4.92,0,0.62,6.744,28.14,4.549,4,296,14.9,312.84,17.74,21.8
0.465377,1.75,4.92,1,0.74,8.052,27.77,4.549,9,337,15.2,267.21,42.44,16.4
0.919693,5.75,7.84,1,0.86,7.18,36.28,5.098,1,453,14.9,317.91,44.91,25.4
0.1814295,2.25,6.38,0,0.74,6.744,29.25,4.8235,8,280,17.9,275.66,37.5,16.4
0.7493245,5.25,5.65,1,0.74,6.308,33.69,4.8235,1,539,17,321.29,30.09,20
0.351798,1.75,6.38,1,0.74,7.616,36.28,4.549,6,303,19.7,272.28,20.21,22.4
0.578956,4.5,8.57,0,0.74,6.308,27.4,4.8235,8,557,17.9,257.07,10.33,28.4
0.578956,3,4.92,0,0.74,7.18,30.36,4.549,4,307,14.9,306.08,44.91,17
0.6357455,4.75,3.46,0,0.74,8.052,35.17,4.549,8,659,14.9,270.59,20.21,21.2
0.7493245,1.75,2.73,0,0.62,7.616,30.73,4.549,8,318,15.5,265.52,30.09,23.6
0.465377,2.5,9.3,0,0.74,8.052,28.51,5.098,5,531,14.9,314.53,7.86,24.8
